episode,reward,ep_len,covered,solved,invalid_actions,invalid_rate,critic_loss,actor_loss,alpha
277,-1.0,7,24,0,1,0.143,3.139484405517578,-7.404285430908203,0.9441819787025452
278,-1.0,10,36,0,1,0.100,3.7532691955566406,-7.213731288909912,0.9413453340530396
279,-1.0,7,24,0,1,0.143,3.1475648880004883,-7.320435523986816,0.9393614530563354
280,-1.0,8,28,0,1,0.125,3.931121587753296,-7.2463202476501465,0.9370783567428589
281,-1.0,7,24,0,1,0.143,3.232872247695923,-7.302618026733398,0.9350749254226685
282,-1.0,8,28,0,1,0.125,2.9878089427948,-7.415538787841797,0.9327746629714966
283,-1.0,8,28,0,1,0.125,2.800063133239746,-7.397097110748291,0.9305069446563721
284,-1.0,7,24,0,1,0.143,2.8916335105895996,-7.552853584289551,0.9285268187522888
285,-1.0,9,32,0,1,0.111,3.157003879547119,-7.48776388168335,0.9259556531906128
286,-1.0,8,28,0,1,0.125,2.823512554168701,-7.430598735809326,0.9236767888069153
287,-1.0,9,32,0,1,0.111,2.491610527038574,-7.672406196594238,0.9211137890815735
288,-1.0,6,20,0,1,0.167,3.2765233516693115,-7.677455902099609,0.9194130897521973
289,-1.0,9,32,0,1,0.111,2.356039524078369,-7.712856769561768,0.9168438911437988
290,-1.0,5,16,0,1,0.200,3.4337902069091797,-7.507119178771973,0.9154104590415955
291,-1.0,8,28,0,1,0.125,2.73079252243042,-7.914607524871826,0.9131093621253967
292,-1.0,7,24,0,1,0.143,3.0709385871887207,-7.6886138916015625,0.9111054539680481
293,-1.0,8,28,0,1,0.125,3.5013599395751953,-7.704570770263672,0.9088254570960999
294,-1.0,8,28,0,1,0.125,2.8027820587158203,-7.808150291442871,0.906563401222229
295,-1.0,8,28,0,1,0.125,2.284876823425293,-8.154455184936523,0.9043110609054565
296,-1.0,7,24,0,1,0.143,2.6901018619537354,-8.010395050048828,0.902343213558197
297,-1.0,7,24,0,1,0.143,2.941415548324585,-8.060420989990234,0.9003877639770508
